google_Documentary_chunk_32_1497034203599011_count_0_noise_-1_noise_type_White,2,2.6,3.08,rather enemy,-1,TRUE,0.8775,0.344,lecture,White,rather,enemy,"[{'transcript': 'driving in a ', 'word_confidence': [['driving', 0.507], ['in', 0.511], ['a', 0.271]], 'confidence': 0.472, 'timestamps': [['driving', 0.22, 0.56], ['in', 0.56, 0.62], ['a', 0.62, 0.69]]}]",driving,0.8589,in,0.7339,a,0.5253,,,,,,,,
Nikola_Tesla_chunk_65_1497034203599011_count_0_noise_-1_noise_type_White,2,10.1,11.72,nineteen thank,-1,TRUE,0.8936,0.4475,lecture,White,nineteen,thank,"[{'transcript': 'Rachel ', 'word_confidence': [['Rachel', 0.483]], 'confidence': 0.483, 'timestamps': [['Rachel', 0.24, 0.86]]}]",Rachel,0.905,,,,,,,,,,,,
American_Civil_War_chunk_84_1497034203599011_count_0_noise_-1_noise_type_White,2,23.79,24.3,because German,-1,TRUE,0.9494,0.4347,lecture,White,because,German,"[{'transcript': 'the sermon ', 'word_confidence': [['the', 0.226], ['sermon', 0.547]], 'confidence': 0.485, 'timestamps': [['the', 0.28, 0.37], ['sermon', 0.37, 0.75]]}]",the,0.8141,sermon,0.9406,,,,,,,,,,
Elon_Musk_chunk_96_1497034203599011_count_0_noise_-1_noise_type_White,2,11.42,12.3,lumping Tesla,-1,FALSE,0.4559,0.7888,lecture,White,lumping,Tesla,"[{'transcript': 'not the test ', 'word_confidence': [['not', 0.297], ['the', 0.325], ['test', 0.422]], 'confidence': 0.369, 'timestamps': [['not', 0.28, 0.51], ['the', 0.51, 0.62], ['test', 0.62, 1.02]]}]",not,0.6005,the,0.5053,test,0.4523,,,,,,,,
Albert_Einstein_chunk_36_1497034203599011_count_0_noise_12_noise_type_White,2,8.22,8.89,stunned upset,12,FALSE,0.2609,0.9386,lecture,White,stunned,upset,"[{'transcript': 'I stand up set ', 'word_confidence': [['I', 0.217], ['stand', 0.082], ['up', 0.796], ['set', 0.136]], 'confidence': 0.224, 'timestamps': [['I', 0.24, 0.28], ['stand', 0.28, 0.61], ['up', 0.61, 0.72], ['set', 0.72, 0.9]]}]",I,0.4853,stand,0.4425,up,0.7456,set,0.4068,,,,,,
Albert_Einstein_chunk_36_1497034203599011_count_1_noise_15_noise_type_White,2,15.19,15.73,Isaac Newton,15,TRUE,0.9788,0.3586,lecture,White,Isaac,Newton,[],,,,,,,,,,,,,,
Darwins_Legacy_chunk_43_1497034203599011_count_0_noise_28_noise_type_White,2,3.46,4.71,gloss greenhouse,28,FALSE,0.4376,0.9043,lecture,White,gloss,greenhouse,"[{'transcript': 'lost greenhouse ', 'word_confidence': [['lost', 0.467], ['greenhouse', 0.146]], 'confidence': 0.274, 'timestamps': [['lost', 0.28, 0.76], ['greenhouse', 0.76, 1.49]]}]",lost,0.7032,greenhouse,0.4896,,,,,,,,,,
American_Civil_War_chunk_22_1497034203599011_count_0_noise_23_noise_type_White,2,10.84,11.43,states where,23,TRUE,0.7726,0.4543,lecture,White,states,where,"[{'transcript': 'stay for ', 'word_confidence': [['stay', 0.302], ['for', 0.64]], 'confidence': 0.496, 'timestamps': [['stay', 0.23, 0.49], ['for', 0.49, 0.84]]}]",stay,0.7282,for,0.8096,,,,,,,,,,
google_Documentary_chunk_62_1497034203599011_count_0_noise_-1_noise_type_White,2,10.9,11.37,Sergei would,-1,FALSE,0.3115,0.9526,lecture,White,Sergei,would,"[{'transcript': 'third it would ', 'word_confidence': [['third', 0.184], ['it', 0.412], ['would', 0.157]], 'confidence': 0.226, 'timestamps': [['third', 0.24, 0.5], ['it', 0.5, 0.6], ['would', 0.6, 0.71]]}]",third,0.3672,would,0.3994,,,,,,,,,,
Elon_Musk_chunk_49_1497034203599011_count_1_noise_-1_noise_type_White,2,21.77,22.75,ninety which,-1,FALSE,0.4759,1,lecture,White,ninety,which,"[{'transcript': 'but I ', 'word_confidence': [['but', 0.2], ['I', 0.171]], 'confidence': 0.178, 'timestamps': [['but', 0.21, 0.3], ['I', 0.3, 0.6]]}]",but,0.535,I,0.6203,did,0.4538,,,,,,,,
