google_Documentary_chunk_57_1497615608349479_count_0_noise_-1_noise_type_White,2,6.63,7.35,beautiful thing,-1,True,0.9999,0.499,lecture,White,beautiful,thing,"[{'timestamps': [['beautiful', 0.29, 0.85]], 'confidence': 0.994, 'transcript': 'beautiful ', 'word_confidence': [['beautiful', 0.994]]}]",beautiful,1.0
google_Documentary_chunk_57_1497615608349479_count_0_noise_0_noise_type_White,2,6.63,7.35,beautiful thing,0,True,0.9999,0.499,lecture,White,beautiful,thing,"[{'timestamps': [['beautiful', 0.29, 0.84]], 'confidence': 0.996, 'transcript': 'beautiful ', 'word_confidence': [['beautiful', 0.996]]}]",beautiful,1.0
google_Documentary_chunk_57_1497615608349479_count_0_noise_10_noise_type_White,2,6.63,7.35,beautiful thing,10,True,0.9999,0.499,lecture,White,beautiful,thing,"[{'timestamps': [['beautiful', 0.3, 0.83]], 'confidence': 0.667, 'transcript': 'beautiful ', 'word_confidence': [['beautiful', 0.667]]}]",beautiful,0.9776
google_Documentary_chunk_57_1497615608349479_count_0_noise_15_noise_type_White,2,6.63,7.35,beautiful thing,15,True,0.9999,0.499,lecture,White,beautiful,thing,"[{'timestamps': [['beautiful', 0.3, 0.84]], 'confidence': 0.352, 'transcript': 'beautiful ', 'word_confidence': [['beautiful', 0.352]]}]",beautiful,0.7507
google_Documentary_chunk_57_1497615608349479_count_0_noise_16_noise_type_White,2,6.63,7.35,beautiful thing,16,True,0.9999,0.499,lecture,White,beautiful,thing,"[{'timestamps': [['beautiful', 0.3, 0.84]], 'confidence': 0.283, 'transcript': 'beautiful ', 'word_confidence': [['beautiful', 0.283]]}]",beautiful,0.6236
Obama_chunk_40_1497615608349479_count_0_noise_-1_noise_type_White,2,13.82,15.11,capacity courage,-1,True,0.9978,0.3406,lecture,White,capacity,courage,"[{'timestamps': [['capacity', 0.23, 0.87], ['and', 0.87, 1.0], ['courage', 1.0, 1.37], ['they', 1.37, 1.56]], 'confidence': 0.638, 'transcript': 'capacity and courage they ', 'word_confidence': [['capacity', 1.0], ['and', 0.176], ['courage', 0.441], ['they', 0.12]]}]",capacity,1.0,encouraged,0.374,me,0.3009
Obama_chunk_40_1497615608349479_count_0_noise_0_noise_type_White,2,13.82,15.11,capacity courage,0,True,0.9978,0.3406,lecture,White,capacity,courage,"[{'timestamps': [['past', 0.4, 0.78], ['the', 0.78, 0.87], ['encouragement', 0.87, 1.55]], 'confidence': 0.196, 'transcript': 'past the encouragement ', 'word_confidence': [['past', 0.416], ['the', 0.259], ['encouragement', 0.065]]}]",past,0.3463,encouraged,0.363,me,0.3387
Western_Philosophy_chunk_106_1497615608349479_count_0_noise_-1_noise_type_White,2,22.88,23.68,Aquinas taught,-1,True,1.0,0.4669,lecture,White,Aquinas,taught,"[{'timestamps': [['Aquinas', 0.27, 0.81], ['told', 0.81, 1.06]], 'confidence': 0.755, 'transcript': 'Aquinas told ', 'word_confidence': [['Aquinas', 0.998], ['told', 0.229]]}]",Aquinas,1.0,told,0.6933
Western_Philosophy_chunk_106_1497615608349479_count_0_noise_0_noise_type_White,2,22.88,23.68,Aquinas taught,0,True,1.0,0.4669,lecture,White,Aquinas,taught,"[{'timestamps': [['Aquinas', 0.27, 0.81], ['told', 0.81, 1.06]], 'confidence': 0.78, 'transcript': 'Aquinas told ', 'word_confidence': [['Aquinas', 0.996], ['told', 0.313]]}]",Aquinas,1.0,told,0.8228
Western_Philosophy_chunk_106_1497615608349479_count_0_noise_10_noise_type_White,2,22.88,23.68,Aquinas taught,10,True,1.0,0.4669,lecture,White,Aquinas,taught,"[{'timestamps': [['Aquinas', 0.27, 0.81], ['told', 0.81, 1.05]], 'confidence': 0.774, 'transcript': 'Aquinas told ', 'word_confidence': [['Aquinas', 0.993], ['told', 0.28]]}]",Aquinas,1.0,told,0.7802
Western_Philosophy_chunk_106_1497615608349479_count_0_noise_20_noise_type_White,2,22.88,23.68,Aquinas taught,20,True,1.0,0.4669,lecture,White,Aquinas,taught,"[{'timestamps': [['Aquinas', 0.28, 0.81], ['told', 0.81, 1.03]], 'confidence': 0.59, 'transcript': 'Aquinas told ', 'word_confidence': [['Aquinas', 0.813], ['told', 0.053]]}]",Aquinas,0.9463,full,0.2441
Western_Philosophy_chunk_13_1497615608349479_count_0_noise_-1_noise_type_White,2,11.7,12.34,column apparel,-1,True,0.9534,0.4841,lecture,White,column,apparel,"[{'timestamps': [['collateral', 0.24, 0.87]], 'confidence': 0.008, 'transcript': 'collateral ', 'word_confidence': [['collateral', 0.008]]}]",column,0.6826,of,0.6358,arrow,0.4116
Western_Philosophy_chunk_13_1497615608349479_count_0_noise_0_noise_type_White,2,11.7,12.34,column apparel,0,True,0.9534,0.4841,lecture,White,column,apparel,"[{'timestamps': [['Colin', 0.25, 0.52], ['Farrell', 0.52, 0.87]], 'confidence': 0.033, 'transcript': 'Colin Farrell ', 'word_confidence': [['Colin', 0.06], ['Farrell', 0.012]]}]",column,0.3441
Shakespeare_chunk_110_1497615608349479_count_0_noise_-1_noise_type_White,2,19.47,21.05,mentor Gershon,-1,True,0.971,0.4583,lecture,White,mentor,Gershon,"[{'timestamps': [['mentor', 0.25, 0.79], ['Gershon', 1.41, 1.81]], 'confidence': 0.689, 'transcript': 'mentor Gershon ', 'word_confidence': [['mentor', 0.97], ['Gershon', 0.309]]}]",mentor,0.9993,Gershon,0.6697
Shakespeare_chunk_110_1497615608349479_count_0_noise_0_noise_type_White,2,19.47,21.05,mentor Gershon,0,True,0.971,0.4583,lecture,White,mentor,Gershon,"[{'timestamps': [['mentor', 0.25, 0.79], ['Gershon', 1.41, 1.81]], 'confidence': 0.677, 'transcript': 'mentor Gershon ', 'word_confidence': [['mentor', 0.96], ['Gershon', 0.295]]}]",mentor,0.9994,Gershon,0.6797
Shakespeare_chunk_110_1497615608349479_count_0_noise_10_noise_type_White,2,19.47,21.05,mentor Gershon,10,True,0.971,0.4583,lecture,White,mentor,Gershon,"[{'timestamps': [['mentor', 0.25, 0.78]], 'confidence': 0.436, 'transcript': 'mentor ', 'word_confidence': [['mentor', 0.436]]}, {'timestamps': [['Gershon', 1.41, 1.81]], 'confidence': 0.097, 'transcript': 'Gershon ', 'word_confidence': [['Gershon', 0.097]]}]",mentor,0.9657,Gershon,0.33
Shakespeare_chunk_110_1497615608349479_count_0_noise_20_noise_type_White,2,19.47,21.05,mentor Gershon,20,True,0.971,0.4583,lecture,White,mentor,Gershon,"[{'timestamps': [['mentor', 0.26, 0.81], ['version', 1.41, 1.8]], 'confidence': 0.743, 'transcript': 'mentor version ', 'word_confidence': [['mentor', 0.874], ['version', 0.559]]}]",mentor,0.9949,version,0.9311
